,CITATION NUMBER,OFF FROM DATE,OFF TIME,RACE-ORIGIN CODE,CASE PARTY SEX,REASON FOR STOP,RACE KNOWN,VL STREET NAME,MSEARCH Y/N,MSEARCH TYPE,MSEARCH FOUND,latitude,longitude
295,13852596.0,01/24/2015 12:00:00 AM,20:35:00,A,M,1.0,N,SALADO,N,,,30.2941355,-97.745139
296,13852597.0,01/24/2015 12:00:00 AM,19:32:00,O,M,1.0,N,WEST 28TH STREET,N,,,30.293362,-97.7434074
297,13852598.0,01/24/2015 12:00:00 AM,23:02:00,W,M,1.0,N,SALADO,N,,,30.2941355,-97.745139
298,13853039.0,11/20/2015 12:00:00 AM,13:14:00,W,F,5.0,N,70 BLOCK NORTH IH 35,N,,,30.4367853,-97.66923039999999
299,13853349.0,10/19/2015 12:00:00 AM,14:50:00,N,M,1.0,N,9000 BLOCK PARKFIELD,N,,,30.363314,-97.70844
300,13853702.0,03/11/2015 12:00:00 AM,15:40:00,W,F,1.0,N,7000 BLOCK HART LANE,N,,,30.353086,-97.75787
301,13854745.0,08/31/2015 12:00:00 AM,20:12:00,H,M,1.0,N,11500 BLOCK METRIC BOULEVARD,N,,,30.393728,-97.70751
302,13856051.0,03/28/2015 12:00:00 AM,20:30:00,B,M,1.0,N,EAST 6TH STREET,Y,1.0,5.0,30.263388,-97.7275389
303,13856052.0,04/03/2015 12:00:00 AM,19:05:00,,,1.0,N,500 BLOCK EAST 7TH STREET,N,,,30.267673,-97.73787
304,13856056.0,04/04/2015 12:00:00 AM,1:35:00,N,M,1.0,N,EAST 7TH STREET,N,,,30.2617417,-97.7187189
305,13856057.0,04/04/2015 12:00:00 AM,18:45:00,W,M,1.0,N,EAST 8TH STREET,N,,,30.2657037,-97.72821549999999
306,13856058.0,04/10/2015 12:00:00 AM,20:10:00,H,F,5.0,N,900 BLOCK NORTH I H 35,N,,,30.2689638,-97.73406609999999
307,13856059.0,04/11/2015 12:00:00 AM,22:45:00,W,M,1.0,N,8TH STREET,N,,,30.2657037,-97.72821549999999
308,13856645.0,06/06/2015 12:00:00 AM,13:50:00,H,M,8.0,N,LAKE AUSTIN ZONE 7,N,,,30.35161969999999,-97.80620549999999
